Name,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,DSR Bot style mod score -- higher is better, aim for 3.0.  This is # of mods with secondary speed ≥ 15 / character gp / 100 000,DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,Zetas,Relic Levels,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"Paddlewompy",564426388,3045633,1841661,1203972,152,-27,54,227,75,62,126,4,14,43,63,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,9,8,5
"SupremeLeaderMedusagazer",674661774,5194979,3228024,1966955,164,-247,198,292,85,221,166,29,44,64,107,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,12,9,8
"Cwood17",798842965,3487246,2067003,1420243,145,-43,87,151,59,55,120,3,14,28,47,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,3,2
"Curb Ponix",985145228,4270842,2449641,1821201,134,-68,53,75,61,12,170,1,3,27,70,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,14,8,9
"monarch",619182389,3617069,2123016,1494053,142,114,56,121,55,45,116,5,10,25,54,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,7,5
"Ashley Kamalas",538127559,736625,489274,247351,197,-356,0,0,2,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GK420",132744325,1459808,871281,588527,148,130,68,187,12,42,66,6,8,11,24,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
"AbiWanKenobi",524121448,2982136,1757866,1224270,143,111,51,242,68,37,120,0,13,52,64,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,12,9,6
"Dwalks92",125456753,3101768,1728239,1373529,125,40,75,112,28,30,113,1,11,18,39,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,3,3
"Bullethead",251927439,2960993,1678191,1282802,130,-249,29,147,31,23,128,0,11,28,32,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
"acomstock",246331581,2452804,1513330,939474,161,168,72,193,33,57,70,6,14,22,37,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,4,2
"Bleep blorp",117776922,1926532,1149769,776763,148,-167,26,14,10,4,78,0,1,1,11,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
"gerritdaywalker",569816462,2313515,1461102,852413,171,-41,157,216,48,86,77,14,14,19,33,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,5,3,3
"Qui Goyne Jinn",166165831,3944800,2265296,1679504,134,-97,75,278,71,99,170,11,22,68,78,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,13,10,8
"Mol Eliza",151596536,2635146,1509093,1126053,134,101,26,62,15,23,104,4,4,8,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3
"Rule of two",644939792,2605287,1511759,1093528,138,-272,19,29,28,3,130,0,1,6,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,3,3
"Mol Arthurian",288769369,3423338,2094135,1329203,157,2,57,209,64,73,144,9,16,41,43,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,2
"Wes Terallo",843321349,3577087,2037333,1539754,132,179,58,73,36,12,160,0,6,18,60,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,9,5,6
"Closter",196895545,4975946,2750903,2225043,123,60,76,246,102,93,185,9,21,83,92,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,16,10,9
"OrangeM2",792552657,2023730,1320042,703688,187,19,212,121,30,38,83,5,6,11,29,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,4,2
"Seal",829853513,3222738,1850067,1372671,134,-124,118,246,71,58,117,3,15,53,68,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,12,8,6
"Garfuz",748787144,1938161,1001948,936213,107,-535,29,71,1,9,79,1,5,7,19,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2,1
"Wajus Murph",293828144,1262300,666056,596244,111,-189,30,15,5,0,34,0,0,2,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"DarthBlkD03",948764771,2174185,1421504,752681,188,-254,49,44,25,8,73,1,2,6,22,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,0
"Aaron",772765145,1270637,877353,393284,223,-32,22,23,3,0,27,0,0,3,12,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
"KA Joseph",421477689,1705554,1116620,588934,189,-101,26,49,7,7,45,1,2,5,18,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,1
"rwolf",387492636,4621023,2731697,1889326,144,23,120,172,99,88,161,11,19,43,93,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,13,8,7
"Aaron",141266624,819120,522082,297038,175,-75,0,12,0,0,7,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"blake0607",767269514,4359216,2640207,1719009,153,-347,178,278,58,153,167,23,30,61,80,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,12,6,6
"Apothyon",499196323,3913577,2290728,1622849,141,118,30,182,70,42,151,4,11,52,74,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,11,7,8
"sh0rtacus",912844347,816518,500604,315914,158,286,19,12,1,0,29,0,0,1,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jj33abc",652627562,2430361,1417613,1012748,139,-230,211,116,30,22,107,2,8,16,41,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,6,3,2
"Tagora",943712246,4542319,2621808,1920511,136,-26,68,231,90,55,184,4,24,70,76,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,12,6,5
"Jonc",576239615,2894646,1730669,1163977,148,56,80,61,29,14,111,0,4,11,40,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,8,6,4
"Gojira",151136691,2998551,1802394,1196157,150,-112,149,215,43,73,127,10,15,35,48,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,10,9,5
"Lukke Starkilller",943394719,1370288,844361,525927,160,-325,47,21,5,5,37,1,1,1,12,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,1
"Delmon Graysaber",878142464,3922949,2367730,1555219,152,-177,54,198,74,105,150,1,26,31,61,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,9,8,6
"Balian1991",497715531,1841155,1170674,670481,174,206,42,46,7,8,75,1,2,5,22,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1
"Snuggletuggle",596892287,1662668,908702,753966,120,-408,99,86,7,7,66,1,4,9,18,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
"Dragonheaven",347389231,3324098,1921078,1403020,136,145,26,134,29,34,145,2,13,25,49,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,6,4,3
"Bugzee's chicken curry",256313365,5783364,3260721,2522643,129,31,343,299,111,201,218,22,48,85,120,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,19,11,7
"GeneralBeerz",527291592,4094832,2451616,1643216,149,22,77,204,65,98,148,12,20,44,75,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,8,6,4
"Evertime",176152294,4088576,2414202,1674374,144,21,70,105,59,11,180,0,5,36,56,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,14,9,8
"DubiNuz007",848171515,2388541,1517914,870627,174,-113,210,225,42,79,99,13,13,25,37,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,8,5,5
"LordThavaraj",464934418,2435510,1438041,997469,144,-135,97,88,19,18,103,0,5,13,29,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,5,4,2
"ButofCorpse",668969384,3882673,2310670,1572003,146,-192,302,231,88,99,143,9,24,46,78,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,15,10,8
"INTERLOPER",564181966,3018461,1706242,1312219,130,60,205,170,53,22,133,0,12,35,54,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,10,8,4
"Ethan",231794283,859322,529648,329674,160,225,18,0,1,0,23,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Docflint",353771337,2342662,1377077,965585,142,-152,36,64,18,10,89,1,2,11,25,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,4,2
"DoubleSlash",235533386,4469794,2789334,1680460,165,16,161,151,95,38,182,3,9,51,80,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,14,11,7
