Name,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,DSR Bot style mod score -- higher is better, aim for 3.0.  This is # of mods with secondary speed ≥ 15 / character gp / 100 000,DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,Zetas,Relic Levels,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"badmojo",734128133,5167182,3083963,2083219,148,-69,204,158,95,80,213,8,18,48,88,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,17,10,8
"INTERLOPER",564181966,3214975,1881124,1333851,141,-73,239,204,64,38,143,2,16,42,61,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,13,10,6
"DoubleSlash",235533386,4670395,2898584,1771811,163,-48,182,179,102,64,184,4,17,54,83,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,14,11,7
"Maath Faselli",722124332,349625,254354,95271,266,-91,0,0,0,0,9,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paddlewompy",564426388,3091440,1872050,1219390,153,-59,53,239,78,70,128,4,16,44,64,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,8,7,5
"Docflint",353771337,2750417,1615816,1134601,142,-227,30,110,25,32,116,5,7,17,30,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,4,4
"Ethan",231794283,1267076,747249,519827,143,150,40,15,2,0,45,0,0,2,17,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"Closter",196895545,5159199,2866457,2292742,125,-50,73,262,107,118,195,13,25,87,96,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,16,10,9
"Mol Arthurian",288769369,3576852,2220654,1356198,163,-54,72,221,69,77,152,9,18,46,47,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,3
"Bugzee's chicken curry",256313365,5918282,3349716,2568566,130,31,355,321,117,227,222,28,54,91,122,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,1,1,1,19,10,6
"Delmon Graysaber",878142464,4088906,2471393,1617513,152,-208,60,217,82,124,155,4,29,35,64,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,9,6
"AbiWanKenobi",524121448,3261546,1927556,1333990,144,108,57,259,76,59,126,1,17,56,68,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,11,7,5
"MissJess87",618669632,11421,11421,0,100,589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Komnenos",875711776,3784595,2059811,1724784,119,-54,77,72,48,22,153,4,4,19,33,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,5,5
"DubiNuz007",848171515,2579402,1675052,904350,185,-129,208,248,48,100,118,16,16,28,40,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,9,6,5
"Tagora",943712246,4616904,2656659,1960245,135,-64,67,236,97,60,185,4,27,70,77,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,12,6,5
"monarch",619182389,3972755,2325408,1647347,141,42,55,119,60,53,137,7,11,26,61,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,8,6
"Wes Terallo",843321349,3856275,2238234,1618041,138,127,58,93,42,26,183,1,8,23,64,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,9,5,6
"LordThavaraj",464934418,2857770,1710467,1147303,149,-186,81,112,24,26,126,0,7,20,36,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,3,3
"Bullethead",251927439,3171847,1838089,1333758,137,-270,27,149,32,27,143,0,13,29,37,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,2
"Mol Eliza",151596536,2978814,1723167,1255647,137,-3,40,91,21,41,122,7,8,11,23,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,4
"Snuggletuggle",596892287,1877751,1018445,859306,118,-516,98,131,11,23,75,3,7,13,22,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1
"Matt SithTits",723314881,5907147,3410243,2496904,136,-11,219,283,100,178,214,18,48,84,134,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,23,14,12
"GK420",132744325,1751398,1026894,724504,141,154,77,226,18,73,75,10,11,14,27,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"Seal",829853513,3392392,1997817,1394575,143,-116,140,277,79,86,125,4,21,56,71,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,13,9,6
"GeneBelcher08",714979297,340873,248138,92735,267,77,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sh0rtacus",912844347,1154553,723264,431289,167,249,13,34,3,0,49,0,0,4,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"KaiserMathias",549695952,417673,296527,121146,244,-433,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"DarthBlkD03",948764771,2446580,1595857,850723,187,-211,62,53,30,11,95,1,3,8,26,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,5,1
"Evertime",176152294,4302656,2522420,1780236,141,6,67,131,66,18,186,0,10,43,60,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,14,9,8
"Rule of two",644939792,2791868,1631972,1159896,140,-363,30,48,36,8,137,0,3,9,26,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,4,4
"KA Joseph",421477689,2094572,1356286,738286,183,-30,44,63,12,12,63,1,3,8,25,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,1
"Bleep blorp",117776922,2283474,1382040,901434,153,-122,28,28,13,7,109,0,2,3,18,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,1
"rwolf",387492636,4830530,2872273,1958257,146,7,139,194,107,114,167,14,25,46,96,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,13,8,7
"Jonc",576239615,3191468,1890465,1301003,145,-51,74,92,39,28,130,2,7,17,47,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,9,7,4
"Cwood17",798842965,3647343,2148850,1498493,143,-76,97,169,63,74,122,5,19,28,51,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,3,2
"Dwalks92",125456753,3439387,1936716,1502671,128,-41,72,126,36,42,122,2,15,20,49,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,5,4
"Crabby20",967498845,5041140,3007226,2033914,147,-62,69,153,99,51,215,3,19,48,72,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,17,10,8
"Dragonheaven",347389231,3625060,2101096,1523964,137,90,38,133,35,37,161,2,14,27,53,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,5,4
"Qui Goyne Jinn",166165831,4000644,2304612,1696032,135,-136,73,294,75,115,171,11,26,69,78,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,13,10,8
"Garfuz",748787144,2330812,1207395,1123417,107,-532,33,82,5,16,103,1,6,10,26,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,1
"Coleman trebor",753751969,994281,668335,325946,205,191,0,10,2,0,26,0,0,1,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GeneralBeerz",527291592,4220046,2548858,1671188,152,-39,78,215,73,109,153,13,21,48,78,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,8,6,5
"monarch 02",948784343,1623720,895429,728291,122,-432,256,253,33,56,44,7,10,20,27,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,1
"ButofCorpse",668969384,4214376,2427413,1786963,135,-233,317,249,96,125,147,13,30,50,81,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,17,11,9
"Balian1991",497715531,2347239,1458737,888502,164,227,68,56,12,16,103,3,3,7,30,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,4,1
"OrangeM2",792552657,2098689,1351626,747063,180,-19,207,118,31,39,87,5,6,11,30,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4,4,2
"Foxhound",463812368,4618908,2632729,1986179,132,53,151,210,65,81,205,12,21,60,95,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,16,8,10
